year,to_country_id,to_country,performer,song,place_contest,running_final,place_final,points_final,points_tele_final,points_jury_final,composers,lyricists,lyrics,youtube_url
1980,ie,Ireland,Johnny Logan,What's Another Year,1.0,17.0,1.0,143.0,,,Shay Healy,,"I've been waitin' such a long time\nLookin' out for you, but you're not here\nWhat's another year?\n\nI've been wakin' such a long time\nReachin' out for you, but you aren't near\nWhat's another year?\n\nWhat's another year\nFor someone who's lost everything that he owns?\nWhat's another year\nFor someone who's gettin' used to bein' alone?\n\nI've been prayin' such a long time\nIt's the only way to hide the fear\nWhat's another year?\n\nWhat's another year\nFor someone who's lost everything that he owns?\nWhat's another year\nFor someone who's gettin' used to bein' alone?\n\nI've been cryin' such a long time\nWith such a lot of pain in every tear\nWhat's another year\n(For someone who is getting used to being alone?)\nWhat's another year\n(For someone who is getting used to being alone?)\nWhat's another year\n(For someone who is getting used to being alone?)",https://youtube.com/watch?v=BPOwTXWe-Yw
1980,de,Germany,Katja Ebstein,Theater,2.0,12.0,2.0,128.0,,,Ralph Siegel,Gunter Johansen,"Sie setzen jeden Abend eine Maske auf\nUnd sie spielen wie die Rolle es verlangt\nAn das Theater haben sie ihr Herz verkauft\nSie stehn oben und die unten schaun sie an\nSie sind König, Bettler, Clown im Rampenlicht\nDoch wie's tief in ihnen aussieht, sieht man nicht\n\nTheater, Theater, der Vorhang geht auf\nDann wird die Bühne zur Welt\nTheater, Theater, das ist wie ein Rausch\nUnd nur der Augenblick zählt\n\nWie ein brennendes Fieber, wie ein Stück Glückseligkeit\nEin längst vergessner Traum erwacht zum Leben\nTheater, Theater, gehasst und geliebt\nHimmel und Hölle zugleich\n\nUnd der Clown, der muss lachen, auch wenn ihm zum Weinen ist\nUnd das Publikum sieht nicht, dass eine Träne fliesst\nUnd der Held, der muss stark sein und kämpfen für das Recht\nDoch oft ist ihm vor Lampenfieber schlecht\n\nAlles ist nur Theater und ist doch auch Wirklichkeit\nTheater, das Tor zur Phantasie\nTheater, Theater, nur der bleibt dir treu\nDer dich vor Leidenschaft liebt\n\nTheater, Theater\n(Und der Clown, der muss lachen)\nIst Leben und Traum\n(Auch wenn ihm zum Weinen ist)\nAnfang und Ende zugleich\n(Und das Publikum sieht nicht, dass eine Träne fliesst)\n\nTheater, Theater\n(Und der Held, der muss stark sein)\nIhr schenkt uns Applaus\n(Und kämpfen für das Recht)\nWir geben alles für euch\n(Doch oft ist ihm vor Lampenfieber schlecht)\n\nUnd lachen und weinen für euch\n(Theater, Theater)\nJa, wir geben alles für euch",https://youtube.com/watch?v=bGEo2fpiu0Q
1980,gb,United Kingdom,Prima Donna,Love Enough For Two,3.0,13.0,3.0,106.0,,,Stephanie de Sykes;Stuart Slater,,"If there's a place in your heart for me\nThere's a room in my place for you\n'Cause I've got love enough...\nYes, I've got love enough...\nLove enough for two\n\nIt isn't every road that leads me home\nIt isn't every day I'm on my own\nBut when I'm feeling sad and all alone\nI think of you, yes, I do\n\nYou've got a very special kind of style\nThere's something in your eyes each time you smile\nSo tell me you can stay for just a while\nAnd love me too\n\nIf there's a place in your heart for me\nThere's a room in my place for you\n'Cause I've got love enough...\nYes, I've got love enough for two\n\nIf there's a time in your life for me\nI've got a lifetime to spend with you\n'Cause I've got love enough...\nYes, I've got love enough...\nLove enough for two\n\nIt isn't every day you meet someone\nYou wanna pin your wildest dreams upon\nIt's true you haven't known me very long\nBut I hope and pray that you'll stay\n\nThere's something in the way you touch my soul\nIt seemed that I was half, but now I'm whole\nYou've got me under your complete control\nIn every way\n\nIf there's a place in your heart for me\nThere's a room in my place for you\n'Cause I've got love enough...\nYes, I've got love enough for two\n\nIf there's a...\nIf there's a time in your life for me\nI've got a lifetime to spend with you\n'Cause I've got love enough...\nYes, I've got love enough...\nLove enough for two\n\nOh, I've got love enough...\nOh, I've got love enough...\nLove enough for two",https://youtube.com/watch?v=W8fUTTwOp40
1980,ch,Switzerland,Paola,Cinéma,4.0,9.0,4.0,104.0,,,Peter Reber,Peter Reber;Véronique Müller,"Toute petite, quelquefois il me prenait par la main\nEt heureuse, à petits pas, je marchais par les chemins\nVers la ville aux mille lumières, au côté de mon papa\nVers le monde extraordinaire et magique du cinéma\n\nPeter Pan, c'était le plus grand\nPour tous les petits enfants\nEt Mickey était si gai quand il chantait dans les prés\nAlice aux Pays des Merveilles, le dimanche après-midi\nÉtait blonde, était belle\nEt le film jamais fini\n\nCinéma, cinéma, tout le monde est fou de toi\nCinéma, cinéma, des enfants tu est le roi\nTes images et tes lumières\nFont vivre leurs fantaisies\nComme un carrousel de rêves\nTourne et tourne à l'infini\n\nFred Astaire me rendait folle\nQuand ses pieds claquaient au sol\nCharlie Chaplin, Buster Keaton\nEt le monde de Walt Disney\nL'univers de mon enfance ne me quittera jamais\n\nCinéma, cinéma, tout le monde est fou de toi\nCinéma, cinéma, des enfants tu est le roi\nTes images et tes lumières\nFont vivre leurs fantaisies\nComme un carrousel de rêves\nTourne et tourne à l'infini\n\nCinéma, cinéma, tout le monde est fou de toi\nCinéma, cinéma, des enfants tu est le roi\nTes images et tes lumières\nFont vivre leurs fantaisies\nComme un carrousel de rêves\nTourne et tourne à l'infini",https://youtube.com/watch?v=0-RmnRXA8kU
1980,nl,Netherlands,Maggie MacNeal,Amsterdam,5.0,15.0,5.0,93.0,,,Frans Smit;Sjoukje Smit-van 't Spijker;Robert Verwey,Alex Alberts,"Waar in de wereld je ook bent\nJe denkt terug aan dat moment\nEn weet niet waar je het van kent\n\nMaar opeens herinner je je weer\nEr was een eindeloze sfeer\nEn die is er telkens weer\n\nIn Amsterdam, Amsterdam\nIs van alles aan de gang\nAmsterdam, Amsterdam\nBestaat al eeuwenlang\n\nAmsterdam, Amsterdam\nDe stad waar alles kan\nAmsterdam, Amsterdam\nIedereen die weet ervan\n\nHier ben je werk'lijk nooit alleen\nJe vindt een deel van iedereen\nIn alle dingen om je heen\n\nHier voelen zich alle mensen blij\nEn in hun doen en laten vrij\nMet het gevoel: je hoort erbij\n\nIn Amsterdam, Amsterdam\nIs van alles aan de gang\nAmsterdam, Amsterdam\nBestaat al eeuwenlang\n\nIn die stad waar heel de wijde wereld jou begroet\nVind je dat wat je zoekt\nOveral in overvloed\n\nAmsterdam, Amsterdam\nDaar is van alles aan de gang\nAmsterdam, Amsterdam\nBestaat al eeuwenlang\n\nAmsterdam\nDe stad waar alles kan\nAmsterdam, Amsterdam\nIedereen die weet ervan",https://youtube.com/watch?v=HmgXSnfeudM
1980,it,Italy,Alan Sorrenti,Non So Che Darei,6.0,6.0,6.0,87.0,,,Alan Sorrenti,,"Se ti perdo, non so che farei\nRicorderò sempre ogni piccolo istante\nVissuto con te\n\nLe mie mani sono vuote ma\nIo non nascondo l'amore che sento da sempre per te\nIn fondo all'anima, non so perché\nIo vorrei stringerti ancora una volta a me\n\nNon so che darei per fermare il tempo\nPer dormire al tuo fianco solo una notte\nNon so che darei per sentirti mia\nPer tenerti vicina solo una notte\n\nPoi le stelle e la luna spariranno e tu\nCon le ali di cigno volerai laggiù\n\nLe mie mani sono vuote ma\nIo non nascondo l'amore che sento da sempre per te\nIn fondo all'anima, non so perché\nIo vorrei stringerti ancora una volta a me\n\nNon so che darei per fermare il tempo\nPer dormire al tuo fianco solo una notte\nNon so che darei per sentirti mia\nPer tenerti vicina solo una notte\n\nNon so che darei per fermare il tempo\nPer dormire al tuo fianco solo una notte\nNon so che darei per sentirti mia\nPer tenerti vicina solo una notte\n\nNon so che darei per fermare il tempo\nPer dormire al tuo fianco solo una notte\nNon so che darei per sentirti mia\nPer tenerti vicina solo una notte",https://youtube.com/watch?v=bioGdbbqHnY
1980,pt,Portugal,José Cid,"Um Grande, Grande Amor",7.0,14.0,7.0,71.0,,,José Cid,,"Addio, adieu, auf Wiederseh'n, goodbye\nAmore, amour, meine Liebe, love of my life\nSe o nosso amor findar, só me ouvirás cantar\nAddio, adieu, auf Wiederseh'n, goodbye\nAmore, amour, meine Liebe, love of my life\nOo... ah...\n\nEste amor não tem grades, fronteiras\nBarreiras, muro em Berlim\nÉ um mar, é um rio, é uma fonte\nQue nasce dentro de mim\nÉ o grito do meu universo\nDas estrelas p'ra onde eu regresso\nOnde sempre esta música paira no ar\n\nAddio, adieu, auf Wiederseh'n, goodbye\nAmore, amour, meine Liebe, love of my life\nSe o nosso amor findar, só me ouvirás cantar\nAddio, adieu, auf Wiederseh'n, goodbye\nAmore, amour, meine Liebe, love of my life\n\nEste amor é um pássaro livre voando no céu azul\nQue compôs a mais bela canção\nDeste mundo de Norte a Sul\nE as palavras que uso em refrão\nFazem parte da mesma canção\nQue ecoa nas galáxias da minha ilusão\n\nAddio, adieu, auf Wiederseh'n, goodbye\nAmore, amour, meine Liebe, love of my life\nSe o nosso amor findar, só me ouvirás cantar\nAddio, adieu, auf Wiederseh'n, goodbye\nAmore, amour, meine Liebe, love of my life\n\n(Addio, adieu, auf Wiederseh'n, goodbye)\nUm grande amor\n(Amore, amour, meine Liebe, love of my life)\n(Love of my life)\nSe o nosso amor findar, só me ouvirás cantar\nAddio, adieu, auf Wiederseh'n\nAddio, adieu, auf Wiederseh'n\nAmore, amour, meine Liebe, love of my life",https://youtube.com/watch?v=lU8v8kFJSEw
1980,at,Austria,Blue Danube,Du Bist Musik,8.0,1.0,8.0,64.0,,,Klaus Peter Sattler,,"Du bist Liszt, Chopin, Debussy, Couperin\nDu bist Mozart, Gesualdo und Boulez\nDu bist Gluck und Bach, Johann Strauß, Offenbach\nDu bist Schubert, Gershwin und Chavez\nDu bist Mahler, Schumann, Monteverdi\nFrank Martin, Tschaikowski, Josquin\nDu bist Palestrina und Puccini\nStrawinski und Rossini, De Falla und Messiaen\n\nDu bist Musik, Musik, Musik\nBist meine Harmonie, Melodie\nBist meine Symphonie\nDu bist Musik, du bist Musik\nDu bist Musik, Musik, Musik\n\nDu bist ein Ballett, ein Konzert, Menuett\nEin Capriccio, eine Polka, ein Duett\nDu bist ein Chanson, Intermezzo, Passion\nEin Refrain, eine Variation\nEine Bagatelle, Ballade\nEine Tarantella, eine Suite\nHumoreske, Walzer, Serenade\nRomanze und Kantate, Sonate und mein Lied\n\nDu bist Musik, Musik, Musik\nBist meine Harmonie, Melodie\nBist meine Symphonie\nDu bist Musik, du bist Musik\nDu bist Musik, Musik, Musik\n\nDu bist Musik, Musik, Musik\nBist meine Harmonie, Melodie\nBist meine Symphonie\nDu bist Musik, du bist Musik\nDu bist Musik",https://youtube.com/watch?v=1AqK5IrhPys
1980,lu,Luxembourg,Sophie and Magaly,Papa Pingouin,9.0,4.0,9.0,56.0,,,Gunter Johansen;Ralph Siegel,Jean-Paul Cara;Pierre Delanoë,"Le papa pingouin, le papa pingouin\nLe papa, le papa, le papa pingouin\nLe papa pingouin s'ennuie sur la banquise\nLe papa pingouin, le papa pingouin\nLe papa, le papa, le papa pingouin\nLe papa pingouin voudrait faire sa valise\n\nOn le sent nerveux, un peu malheureux\nPas très bien dans ses plumes\nPour se calmer les nerfs, il plonge dans la mer\nIl envie l'oiseau qui s'en va là-haut du côté de la lune\nLui qui a des pieds de plomb, ça le rend grognon\n(Pa papapa papapa papapa...)\n(Papapa papapa papapa papapa...)\n\nLe papa pingouin, le papa pingouin\nLe papa, le papa, le papa pingouin\nLe papa pingouin s'ennuie sur la banquise\nLe papa pingouin, le papa pingouin\nLe papa, le papa, le papa pingouin\nLe papa pingouin voudrait faire sa valise\n\nSur la neige bleue fait un pas douteux et glisse sur la glace\nOn l'entend murmurer: ""Je veux m'en aller""\nTrès haut dans le ciel, plus près du soleil, en traversant l'espace\n""J'ai des ailes d'un oiseau, je peux voler haut""\n(Pa papapa papapa papapa...)\n(Papapa papapa papapa papapa...)\n\nMais voyons papa, pourquoi dis-tu ça?\nTu sais bien que les ailes\nCelles des pingouins et des moulins ne servent plus à rien\nMais pourquoi, papa, aller là-bas?\nIci la vie est belle\nLaisse le ciel aux anges et aux saints, viens, papa\nPapapa papapa papapa...\nPapapa papapa papapa...\n\nLe papa pingouin, le papa pingouin\nLe papa, le papa, le papa pingouin\nLe papa pingouin poursuit son joli rêve\n\nVoilà qu'il se prend pour un goéland, il fait de longs voyages\nIl descend vers le sud jusqu'en Angleterre\nEt voici Paris, Rome et Napoli, les rives de Carthage\nEt la Méditerranée, que c'est beau l'été\n(Pa papapa papapa papapa...)\n(Papapa papapa papapa papapa...)\n\nMais voyons papa, tu n'y penses pas?\nTu sais bien que les ailes\nCelles des pingouins et des moulins ne servent plus à rien\nMais pourquoi, papa, aller là-bas?\nIci la vie est belle\nSi tu pars, tu n'iras pas loin, reste là\nPapapa papapa papapa...\nPapapa papapa papapa papapa...\n\nLe papa pingouin, le papa pingouin\nLe papa, le papa, le papa pingouin\nLe papa pingouin revient de ses chimères\nLe papa pingouin, le papa pingouin\nLe papa, le papa, le papa pingouin\nLe papa pingouin redescend sur la terre\n\n(Le papa pingouin, le papa pingouin)\n(Le papa, le papa, le papa pingouin)\n(Le papa pingouin adore sa banquise)\nLe papa pingouin, le papa pingouin\nLe papa, le papa, le papa pingouin\nLe papa pingouin va brûler sa valise\n\n(Le papa pingouin, le papa pingouin)\nLe papa, le papa, le papa pingouin",https://youtube.com/watch?v=LTECukPlnuk
1980,se,Sweden,Tomas Ledin,Just Nu!,10.0,8.0,10.0,47.0,,,Tomas Ledin,,"Han är trött på stan, det händer ingenting\nDet mesta är sig likt här runt omkring\nVeckan kryper fram, helgen springer förbi\nSamma snack varje dag om att göra sig fri\n\nJust nu vill jag leva, just nu!\nJust nu vill jag känna, just nu!\n\nKänna luften i mina lungor, känna blodet som pulserar\nKänna ljuset i mina ögon, känna tiden som passerar\n\nHan vill dra iväg, kanske ner till Paris\nOch hitta äventyret på något vis\nInte sitta här på stans konditori\nOch låta tankarna, bara fladdra förbi\n\nJust nu vill jag leva, just nu!\nJust nu vill jag känna, just nu!\n\nKänna luften i mina lungor, känna blodet som pulserar\nKänna ljuset i mina ögon, känna tiden som passerar\n\nKänna luften i mina lungor (just nu!)\nKänna blodet som pulserar (just nu!)\nKänna ljuset i mina ögon (just nu!)\nKänna tiden som passerar (just nu!)\n\nJust nu vill jag leva, just nu!\nJust nu vill jag känna, just nu!\n\nKänna luften i mina lungor (just nu!)\nKänna blodet som pulserar (just nu!)\nKänna ljuset i mina ögon (just nu!)\nKänna tiden som passerar (just nu!)\n\nJust nu vill jag leva, just nu!\nJust nu vill jag känna, just nu!\n\nKänna luften i mina lungor (just nu!)\nKänna blodet som pulserar (just nu!)\nKänna ljuset i mina ögon (just nu!)\nKänna tiden som passerar (just nu!)",https://youtube.com/watch?v=ELz4zAnvJf0
1980,fr,France,Profil,"Hé, Hé M'sieurs Dames",11.0,16.0,11.0,45.0,,,Sylvano Santorio,Richard de Bordeaux;Richard Joffo,"Dududu dududu... dududu dududu dudu...\nHé, hé, m'sieurs, dames\nSi on chantait toute la nuit\nPour rire et faire peur aux ennuis\nC'est fête aujourd'hui\n\nHé, hé, m'sieurs, dames\nOn va s'balader sur la gamme\nLe cœur empli de notes en flammes\nPour chauffer nos âmes\n\nOn va chanter, hé, hé, m'sieurs, dames\nOn va danser, hé, hé, m'sieurs, dames\nChacun se dévoile, ce soir c'est le bal\nC'est le carnaval, le carnaval\n\nDududu dududu... dududu dududu dudu...\nHé, hé, m'sieurs, dames\nDehors dans la nuit qui scintille\nIl y a tous les lampions qui brillent\nDans les yeux des filles\n\nHé, hé, m'sieurs, dames\nOn a le droit d'être un peu fou\nRiez nez-à-nez, joue-à-joue\nMoquez-vous de tout\n\nOn va chanter, hé, hé, m'sieurs, dames\nOn va danser, hé, hé, m'sieurs, dames\nFaire ce qu'il nous plaît, ce soir c'est le bal\nC'est le carnaval, le carnaval\n\nDududu dududu... dududu dududu dudu...\nHé, hé, m'sieurs, dames\nCe soir l'argent est interdit\nOn jette la monnaie, les billets\nComme des confettis\n\nHé, hé, m'sieurs, dames\nFinie la peur des lendemains\nEt tous pour longtemps on sera bien\nLa main dans la main\n\nOn va chanter, hé, hé, m'sieurs, dames\nOn va danser, hé, hé, m'sieurs, dames\nVivre enfin not' vie, ce soir c'est le bal\nC'est le carnaval, le carnaval\n\nHé, hé, m'sieurs, dames\nOn va chanter, hé, hé, m'sieurs, dames\nVivre enfin not' vie, ce soir c'est le bal\nC'est le carnaval, le carnaval\n\nHé hé, m'sieurs, dames\nOn va danser, hé hé, m'sieurs, dames\nVivre enfin not' vie, ce soir c'est le bal\nC'est le carnaval, le carnaval\n\nDududu dududu dudu...",https://youtube.com/watch?v=nbgrod4UhMg
1980,es,Spain,Trigo Limpio,Quédate Esta Noche,12.0,18.0,12.0,38.0,,,José Antonio Martin,,"Duérmete junto a mí esta noche\nQuédate junto a mí esta noche\nQuiéreme mucho a mí esta noche\nYo seré para ti esta noche\n\nDuérmete junto a mí esta noche\nQuédate junto a mí esta noche\nQuiéreme mucho a mí esta noche\nYo seré para ti esta noche\n\nSuelta las llaves y pon la maleta\nDe nuevo en su sitio otra vez\nPiensa que no hay que enfadarse\nY menos marcharse sin decir porqué\n\nVen a mis brazos y dime qué pasa\nQue quiero salvar nuestro amor\nSi acaso tal vez cometí una falta\nYo quiero pedirte perdón\n\nDuérmete junto a mí esta noche\nQuédate junto a mí esta noche\nQuiéreme mucho a mí esta noche\nYo seré para ti esta noche\n\nDeja tus cosas y ven\nQue ya hablaremos después\nY ahora quédate aquí\nQue te quiero decir cuánto te necesito, mi amor\n\nJuntos veremos los dos\nPor este gran ventanal\nLa mañana llegar y sentarse a tus pies\nCuando estés disfrutando, mi amor\n\nDuérmete junto a mí esta noche\nQuédate junto a mí esta noche\nQuiéreme mucho a mí esta noche\nYo seré para ti esta noche\n\nDuérmete junto a mí esta noche\nQuédate junto a mí esta noche\nQuiéreme mucho a mí esta noche\nYo seré para ti esta noche\n\nDuérmete junto a mí esta noche\nQuédate junto a mí esta noche\nQuiéreme mucho a mí esta noche\nYo seré para ti esta noche",https://youtube.com/watch?v=SjfcjhM-DRg
1980,gr,Greece,Anna Vissi and the Epikouri,Otostop,13.0,3.0,13.0,30.0,,,Jick Nacassian,Rony Sofu,"An thes ton kosmo na this mazi mu xekina (xekina)\nKe kane me otostop to yiro tis yis\nBoris na pas opu thes, Evropi i Kina (Kina)\nKe ""yia Athina"" na pis ke opu vrethis\nKe ande, m' otostop, otostop\nTaksidi m' otostop, otostop, xekina yelasta\nOtostop, me otostop\nTa sinora in' anikta ki emis mia sindrofia\nI thromi m' otostop, otostop\nThiki mas m' otostop, otostop ki o kosmos mia stalia\nOtostop, me otostop, pandu tha pame\nYia hara, me otostop, otostop\n\nPekino, Vladivostok, Parisi, Londino\nMe mia mikri sak-voyage ton kosmo na this\nStokholmi, Kairo, Madriti, Romi, Verolino\nRuleta miazi na in' o yiros tis yis\n\nKe ande, m' otostop, otostop\nTaksidi m' otostop, otostop, xekina yelasta\nOtostop, me otostop\nTa sinora in' anikta ki emis mia sindrofia\nI thromi m' otostop, otostop\nThiki mas m' otostop, otostop ki o kosmos mia stalia\nOtostop, me otostop, pandu tha pame\nYia hara, me otostop, otostop\n\nKe ande, m' otostop, hey, la la la la la la...\nOtostop, me otostop, pandu tha pame, yia hara\nMe otostop, otostop, otostop, otostop\nOtostop",https://youtube.com/watch?v=eNJ1CtYhScs
