year,to_country_id,to_country,performer,song,place_contest,running_final,place_final,points_final,points_tele_final,points_jury_final,composers,lyricists,lyrics,youtube_url
2020,fr,France,Tom Leeb,The Best in Me,,,,,,,,,"La nuit comme un écho\nComme un reflet à tes mots\nDans mon cœur, je lis\nUn éternel récit\nDe toi\nDe toi, de toi, de toi\n\nYou, you are the best in me\nYou're making it all complete\nYou are, you are, you are\nIn every breath I breathe\nForever eternally\nYou are, you are, you are\nYou are the best in me\n\nJ'irai au bout des sens\nFaire voyager mon innocence\nPour qu'ils donnent vie\nÀ tout c'qu'on s'est promis\nYou are\nYou are, you are, you are\n\nYou, you are the best in me\nYou're making it all complete\nYou are, you are, you are\nIn every breath I breathe\nForever eternally\nYou are, you are, you are\nYou are the best in me\n\nMon alli, mon alliée\nMême si le temps devait s'arrêter\nSans toi, je perds le meilleur de moi\n\nYou are the best in me\n(You are the best in me)\n(You're making it all complete)\nYou are, you are, you are\nYou are the best in me\nYou're making it all complete\nYou are, you are, you are\nIn every breath I breathe\nForever eternally\nYou are, you are, you are\nYou are the best in me\nYou are the best in me",https://youtube.com/watch?v=J5SOdhXjYko
2020,de,Germany,Ben Dolic,Violent Thing,,,,,,,,,"Got that thing that I can't deny\nKilling me soft with the big brown eyes\nSuch a violent thing, would you let me know\nKnocking me down like a domino, oh\n\nYou know that I'm right here, I'm working on love\nI'm waiting on something I need\nI think that you, you know\nYou know what I want\nYou got me on the edge of my seat\n\nOh, don't tell your mama what you're doing tonight\nTwenty-four hours ago you got that look in your eyes\nDon't need your number, 'cause I know you be there\nHappen all night and the beat don't lie, we're crystal clear\n'Cause if I got you with me tonight\nFeeling like I'm feeling tonight\nDon't tell your mama\nOh, you're such a violent thing\nOh, you're such a violent thing\n\nShooting high, we're getting low\nGuns and roses all alone\nAnd I wanna hear what you gotta say\nBut you won't give me no audio, oh\n\nYou know that I'm right here, I'm working on love\nI'm waiting on something I need\nI think that you, you know\nYou know what I want\nYou got me on the edge of my seat\n\nOh, don't tell your mama what you're doing tonight\nTwenty-four hours ago you got that look in your eyes\nDon't need your number, 'cause I know you be there\nHappen all night and the beat don't lie, we're crystal clear\n'Cause if I got you with me tonight\nFeeling like I'm feeling tonight\nDon't tell your mama\nOh, you're such a violent thing\nOh...\n\nYou know that I'm right here, I'm working on love\nI'm waiting on something I need\nI think that you, you know\nYou know what I want\nYou got me on the edge of my seat\n\nOh, don't tell your mama what you're doing tonight\nTwenty-four hours ago you got that look in your eyes\nDon't need your number, 'cause I know you be there\nHappen all night and the beat don't lie, we're crystal clear\n'Cause if I got you with me tonight\nFeeling like I'm feeling tonight\nDon't tell your mama\nOh, you're such a violent thing\nOh, you're such a violent thing\n\nDon't tell your mama\nOh, you're such a violent thing",https://youtube.com/watch?v=hAobDQ9GbT4
2020,it,Italy,Diodato,Fai rumore,,,,,,,,,Sai che cosa penso\nChe non dovrei pensare\nChe se poi penso sono un animale\nE se ti penso tu sei un'anima\nMa forse è questo temporale\nChe mi porta da te\nE lo so non dovrei farmi trovare\nSenza un ombrello anche se\n\nHo capito che\nPer quanto io fugga\nTorno sempre a te\nChe fai rumore qui\nE non lo so se mi fa bene\nSe il tuo rumore mi conviene\nMa fai rumore sì\nChe non lo posso sopportare\nQuesto silenzio innaturale\nTra me e te\n\nE me ne vado in giro senza parlare\nSenza un posto a cui arrivare\nConsumo le mie scarpe\nE forse le mie scarpe\nSanno bene dove andare\nChe mi ritrovo negli stessi posti\nProprio quei posti che dovevo evitare\nE faccio finta di non ricordare\nE faccio finta di dimenticare\n\nMa capisco che\nPer quanto io fugga\nTorno sempre a te\nChe fai rumore qui\nE non lo so se mi fa bene\nSe il tuo rumore mi conviene\nMa fai rumore sì\nChe non lo posso sopportare\nQuesto silenzio innaturale\nTra me e te\n\nMa fai rumore sì\nChe non lo posso sopportare\nQuesto silenzio innaturale\nE non ne voglio fare a meno oramai\nDi quel bellissimo rumore che fai,https://youtube.com/watch?v=TA57rugucwk
2020,nl,Netherlands,Jeangu Macrooy,Grow,,23.0,,,,,,,"When I'm sad\nI am unreasonable\nJust like a little kid\nMad at the world\n\nWhen I'm alone\nI am defenceless\nJust like the boy I was\nAfraid in the dark\n\nDon't take it personally\nDon't be offended\nDon't mind my mood\nChanging like the weather\nGod knows I try to hold it all together\nOh, I'm getting older\nAnd it ain't what I thought it would be\n\nWide awake\nThe planet spins around\nA little too fast for me\nMost of the time\n\nLost control\nMy thoughts are flickering\nJust like satellites\nLost in the sky\n\nDon't take it personally\nDon't be offended\nDon't mind my mood\nChanging like the weather\nGod knows I try to hold it all together\nI'm getting older\nAnd it ain't what I thought it would be\n\nOne day I'll find\nSome peace of mind\nAnd then I'll stop being afraid\nI won't make it through the night\n\nThe more I learn\nThe less I know\nThrough every high and every low\nOh, oh, the more I learn (Grow)\nThe less I know (Grow)\nThrough every high and every low (Grow)\nI'll grow, oh-oh\nThe more I learn (Grow)\nThe less I know (Grow)\nThrough every high and every low (Grow)\nI'll grow, oh-oh",https://youtube.com/watch?v=sMcxWB90TTY
2020,es,Spain,Blas Cantó,Universo,,,,,,,,,"Perdóname, perdóname\nUni-universo\nPerdóname, perdóname\n\nTodo lo que escondo cuando tengo miedo\nSe hace realidad dentro de este silencio\nPuedo ser como el viento\nY desaparecer\n\nPerdóname, perdóname\nUni-universo\nPerdóname, perdóname\nUni-universo\nPor apagar mi voz\nPara evitar ser el culpable\nDe lo que soy\nPerdóname\nUni-universo\nUni-universo\n\nTuve que escucharme cuando había tiempo, y no entiendo\nCómo me he perdido en un solo momento\nDime dónde irán los sueños que me quedan\nSi no queda más espacio en mi cabeza\n\nPerdóname, perdóname\nUni-universo\nPerdóname, perdóname\nUni-universo\nPor apagar mi voz\nPara evitar ser el culpable\nDe lo que soy\nPerdóname\nUni-universo\nUni-universo\nUni-universo\nUni-universo\n\nPuedo ser como el viento\nY desaparecer\nPuedo salir corriendo\nY desaparecer\n\nPerdóname, perdóname, perdónameeee...\nUni-universo\nPerdóname, perdóname\nUni-universo\nPor apagar mi voz\nPara evitar ser el culpable\nDe lo que soy\nPerdóname, perdóname\nUni-universo\nUni-universo",https://youtube.com/watch?v=zuDdex1st-Y
2020,gb,United Kingdom,James Newman,My Last Breath,,,,,,,,,"Some people let go\nSome people let love slip away, yeah\nBut I'm gonna hold on\nWhen no one believes, I'll keep the faith\n\nAnd I know that we're in trouble\nBut I swear that we'll survive\n\nIf we were deep-sea divers\nAnd no one came to find us\nIf you had nothing left\nI'd give you my last breath (Oh-oh-oh, oh, oh)\nI'd give you my last breath (Oh-oh-oh, oh, oh)\n\nWe all need a lifeline\nSomeone to call when we're alone, hmm, yeah\nIt's all good in the good times\nBut I'll still be there when it all goes wrong\nYes, I will\n\nIf we were deep-sea divers\nAnd no one came to find us\nIf you had nothing left\nI'd give you my last breath (Oh-oh-oh, oh, oh)\nI'd give you my last breath (Oh-oh-oh, oh, oh)\n\nAnd I know that we're in trouble\nBut I swear that we'll survive\n\nIf we were deep-sea divers\nAnd no one came to find us\nIf you had nothing left\nI'd give you my last breath (Oh-oh-oh, oh, oh)\nI'd give you my last breath (Oh-oh-oh, oh, oh)\nI'd give you my last breath",https://youtube.com/watch?v=6iS-lV909T4
2020,Australia,Australia,Montaigne,Don't Break Me,,,,,,,,,"I don't feel the same buzz\nWhen your name comes up on my phone anymore\nFeels like I don't feel you\nI fear you\nAnd it makes me cry on my floor\n\nIt feels like you're taking me for granted\nI've given you everything I have, yeah\nAnd I can barely bring to mind\nThe reason why I've stretched myself so far for\nYou\n\nOh, ho, ho, I can't take it anymore\n\nDon't break me\nDon't break me down, down, down, down\nDon't break me\nAre you hearing me now, now, now, now\nYou thought I was elastic\nBut maybe I'm just made of glass\nDon't break me\nDon't break me down\n\nIsn't love a compromise\nTwo people trying to keep the fire burning\nYou've been busy playing round and starting fights\nWhile I've been busy earning\nEvery time that I try to explain it\nYou think that your pain is more important\nAnd the hardest thing is that I don't wanna give you up\nI love you, I love you, I love you\n\nBut oh, ho, ho, I can't take it anymore\n\nDon't break me\nDon't break me down, down, down, down\nDon't break me\nAre you hearing me now, now, now, now\nYou thought I was elastic\nBut maybe I'm just made of glass\nDon't break me\nDon't break me down\n\nI lie awake while you're asleep\nI listen to the sound\nOf all the words I couldn't say 'til now\n\nDon't break me\nDon't break me down, down, down, down\nDon't break me\nAre you hearing me now, now, now\nYou thought I was elastic\nBut maybe I'm just made of glass\nDon't break me\nDon't break me down\nDon't break me",https://youtube.com/watch?v=gr-wWxu4974
2020,Belarus,Belarus,VAL,Da vidna,,,,,,,,,"Zaplyatala vosyenʹ yasnu kosami dy rasplyala\nZaplutala, yak zima zamyataye stsyezhki pozniya saboy dabyala\nZapytala, oy nashto mnye toy, kaho nye vybirala\nOy, zablytala da vidna, nochka tsyomna tayamnitsami i zharstsyu pawna\n\nDa vidna, da vidna zastalasya nye adna\nDa vidna, da vidna vostry myesyats nas yadnaw\nDa vidna, da vidna vostry myesyats nas yadnaw\nDa vidna, da vidna zastalasya nye adna\n\nNye maya vina, zastalasya nye adna\n\nOy, yak mala maladzyenʹkaya w dzyewkakh dy pabyla\nOy, yak rana, oy rana, ruzha byelaya, kamu ty tak kvitnyetsʹ pachala?\nOy, ty mama, oy nashto mnye toy, kaho nye vybirala\nOy, zablytala da vidna nochka tsyomna tayamnitsami i zharstsyu pawna\n\nDa vidna, da vidna zastalasya nye adna\nDa vidna, da vidna vostry myesyats nas yadnaw\nDa vidna, da vidna vostry myesyats nas yadnaw\nDa vidna, da vidna zastalasya nye adna\n\nNye maya vina, zastalasya nye adna\nZastalasya nye adna",https://youtube.com/watch?v=F0wfxz5zq04
2020,Ireland,Ireland,Lesley Roy,Story Of My Life,,,,,,,,,"Everybody told me that I'd never be someone\nI'm not a puppet on a string, no, no I'm not\nAnd everybody said that I was always breaking rules\nWhy would I ever wanna put myself outside the box\n\nI don't care what they say\nAnd who are they any-y-way\n\nThe story of my life it's mine\nI made it on my own that's right\nAnd I'll sing, na-na-na-na-na-na, hey, hey, hey\nMy life, it's my, my, my life it's mine\n\nThey said if I was blunt that I could make it, so I did it\nThen they said, ""You're almost perfect, but you talk too much"", ha\nTry and dumb it down a little, mix your legs around the middle\nRock it all you want, but make it popping off\n\nI don't care what they say\nAnd who are they any-y-way\n\nThe story of my life it's mine\nI made it on my own that's right\nAnd I'll sing, na-na-na-na-na-na, hey, hey, hey\nMy life, it's my, my, my life\nIt's the story of my life, that's right\nThis part of me that meets the eye\nAnd I'll sing, na-na-na-na-na-na, hey, hey, hey\nMy life, it's my, my, my life, it's mine\n\nMy life, yeah, I'm gonna be me, yeah\nI'm gonna believe it's right\nMy life, yeah, I gotta be me\nI gotta believe it's right\n\nThe story of my life it's mine\nI made it on my own that's right\nAnd I'll sing, na-na-na-na-na-na, hey, hey, hey\nMy life, it's my, my, my life\nIt's the story of my life, that's right\nThis part of me that meets the eye\nAnd I'll sing, na-na-na-na-na-na, hey, hey, hey\nMy life, it's my, my, my life, it's mine\n\nMy life, yeah, I'm gonna be me, yeah\nI'm gonna believe it's right\nMy life, yeah, I gotta be me\nI gotta believe it's right\n\nI don't care what you say",https://youtube.com/watch?v=HLgE0Ayl5Hc
2020,Lithuania,Lithuania,The Roop,On Fire,,,,,,,,,I'm a human not a stone\nI can make a change and go\nWherever I want to\n\nThey told me maybe I'm too old\nBut there's fire in my soul.\n\nThe heat is getting higher\nI feel that I'm on fire\nThe world is my desire\nI feel that I'm on fire\n\nThere's no doubt I'm strong enough\nTo reach the state I've dreamed of\nIt's gonna happen\n\nAnd I will do what I can\nJust to be a better man\n\nThe heat is getting higher\nI feel that I'm on fire\nThe world is my desire\nI feel that I'm on fire\n\nCan't believe it took so long\nTo take action and move on\nNo one can stop me\n\nThrough the clouds there comes the sun\nAnd I'm ready for some fun\n\nLa la la la la... \n\nThe heat is getting higher\nI feel that I'm on fire\nThe world is my desire\nI feel that I'm on fire\n\n(on fire)\n(on fire)\n\nThe heat is getting higher,https://youtube.com/watch?v=FxPm-Wz8qpY
